"","X","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"6078",6381,2015,"2015-12-18","Star Wars: The Force Awakens","Lucasfilm","USA","PG-13","Action",245,936.662225,252.35,964.76209175,712.41209175,136,687192,8.1,"J.J. Abrams","Daisy Ridley","Lawrence Kasdan"
"6079",6382,2015,"2015-05-15","Mad Max: Fury Road","Warner Bros. Pictures","Australia","R","Action",150,153.636354,154.5,158.24544462,3.74544462,120,661575,8.1,"George Miller","Tom Hardy","George Miller"
"6080",6383,2015,"2015-12-30","The Hateful Eight","Visiona Romantica","USA","R","Crime",44,54.117416,45.32,55.74093848,10.42093848,167,360020,7.8,"Quentin Tarantino","Samuel L. Jackson","Quentin Tarantino"
"6081",6384,2015,"2015-05-29","San Andreas","Village Roadshow Pictures","USA","PG-13","Action",110,155.190832,113.3,159.84655696,46.54655696,114,167250,6.1,"Brad Peyton","Dwayne Johnson","Carlton Cuse"
"6082",6385,2015,"2015-10-02","Sicario","Black Label Media","USA","R","Action",30,46.889293,30.9,48.29597179,17.39597179,121,257207,7.6,"Denis Villeneuve","Emily Blunt","Taylor Sheridan"
"6083",6386,2015,"2015-02-13","Fifty Shades of Grey","Focus Features","USA","R","Drama",40,166.16723,41.2,171.1522469,129.9522469,125,250086,4.1,"Sam Taylor-Johnson","Dakota Johnson","Kelly Marcel"
"6084",6387,2015,"2015-07-01","Terminator Genisys","Paramount Pictures","USA","PG-13","Action",155,89.760956,159.65,92.45378468,-67.19621532,126,212532,6.5,"Alan Taylor","Arnold Schwarzenegger","Laeta Kalogridis"
"6085",6388,2015,"2016-01-08","Revenant: El Renacido","Regency Enterprises","Hong Kong","R","Adventure",135,183.637894,139.05,189.14703082,50.09703082,156,522384,8,"Alejandro González Iñárritu","Leonardo DiCaprio","Mark L. Smith"
"6086",6389,2015,"2015-10-02","The Martian","Twentieth Century Fox Film Corporation","UK","PG-13","Adventure",108,228.433663,111.24,235.28667289,124.04667289,144,579946,8,"Ridley Scott","Matt Damon","Drew Goddard"
"6087",6390,2015,"2015-09-18","Maze Runner: The Scorch Trials","Gotham Group","USA","PG-13","Action",61,81.67009,62.83,84.1201927,21.2901927,131,166404,6.3,"Wes Ball","Dylan O'Brien","T.S. Nowlin"
"6088",6391,2015,"2015-11-06","Spectre","B24","UK","PG-13","Action",245,200.074175,252.35,206.07640025,-46.27359975,148,318152,6.8,"Sam Mendes","Daniel Craig","John Logan"
"6089",6392,2015,"2015-06-12","Jurassic World","Universal Pictures","USA","PG-13","Action",150,652.270625,154.5,671.83874375,517.33874375,124,469200,7,"Colin Trevorrow","Chris Pratt","Rick Jaffa"
