conrinc,gunlaw,god,age,gender1
51705,0,6,41,2
0,1,6,41,1
0,1,6,42,1
18192.5,0,3,31,2
0,1,6,65,1
0,0,6,79,2
0,1,6,65,2
324512.2921,0,2,38,1
0,8,6,65,1
2681,1,6,19,1
324512.2921,2,6,58,1
42130,1,5,31,2
5745,1,5,36,1
0,2,6,29,1
0,1,6,37,2
42130,1,2,42,2
12447.5,1,6,26,2
16277.5,0,6,24,1
0,0,6,75,2
0,1,6,40,2
10532.5,0,5,30,1
76600,0,6,65,1
0,1,6,56,1
107240,0,1,40,1
383,2,6,38,1
10532.5,0,5,69,2
0,1,6,64,2
0,0,6,29,1
0,1,6,49,2
42130,2,6,32,1
42130,1,6,55,1
21065,0,6,55,1
0,1,6,83,1
34470,0,6,35,1
14362.5,0,6,42,1
0,1,4,39,2
1532,2,6,23,1
0,0,6,49,1
24895,1,6,58,2
63195,2,6,50,2
0,0,3,45,2
0,1,6,77,2
16277.5,2,6,34,1
10532.5,2,6,32,1
63195,2,6,61,2
0,1,6,69,1
42130,1,3,56,1
383,0,3,43,2
0,1,6,20,1
0,2,2,30,2
42130,0,3,57,1
6894,2,4,24,1
18192.5,1,3,57,2
0,0,3,22,2
5745,1,3,23,1
4979,0,3,50,1
383,1,6,71,2
0,0,6,25,2
5745,1,6,43,1
0,1,6,84,2
0,0,4,55,2
34470,1,5,29,1
8617.5,2,5,21,2
0,1,5,34,2
24895,0,2,34,2
0,1,6,83,2
0,1,6,77,2
5745,1,3,28,2
0,0,3,78,2
3447,0,3,61,1
63195,1,4,62,1
16277.5,1,2,40,2
24895,1,3,27,1
0,1,5,59,1
0,0,6,22,2
0,1,3,60,1
0,1,6,61,2
28725,1,6,31,2
63195,1,3,38,2
24895,0,6,26,1
10532.5,0,3,25,2
0,1,6,78,2
63195,1,6,39,1
28725,0,1,40,1
42130,1,5,52,1
0,1,1,70,1
0,0,3,36,2
0,1,3,41,1
0,0,6,58,1
12447.5,1,4,29,2
16277.5,0,1,34,1
0,1,5,84,1
2681,0,8,54,2
2681,2,3,33,1
12447.5,0,5,26,1
0,1,8,47,2
0,1,5,59,2
42130,1,5,46,1
0,1,6,88,1
0,1,4,46,2
0,1,3,23,1
4979,0,1,24,1
0,1,6,63,2
1532,2,2,67,2
24895,2,6,28,1
0,1,3,30,2
1532,0,2,19,1
21065,1,8,42,2
324512.2921,1,5,57,1
0,0,2,64,1
3447,1,6,63,1
2681,0,5,22,1
10532.5,1,6,28,1
28725,0,6,28,2
21065,1,6,51,1
28725,1,6,37,2
21065,0,6,37,2
14362.5,1,6,28,2
0,1,1,60,2
0,0,5,31,1
0,1,6,57,2
0,1,6,99,1
34470,1,2,30,1
0,1,6,51,1
34470,2,6,31,1
0,1,2,56,1
51705,2,6,49,1
0,0,5,19,2
34470,1,6,48,1
8617.5,0,3,33,1
34470,2,6,46,2
21065,0,3,31,2
0,2,2,35,1
8617.5,1,6,42,1
0,1,6,30,1
0,1,5,38,1
28725,1,6,52,2
0,1,6,49,1
0,0,6,62,1
5745,1,6,54,1
0,8,6,38,2
14362.5,0,6,30,2
16277.5,1,5,53,1
21065,1,1,40,1
0,0,2,67,1
0,2,6,78,1
0,0,5,66,2
10532.5,1,5,57,1
42130,0,6,42,2
42130,1,3,32,1
5745,1,4,20,1
28725,0,6,61,1
0,1,6,55,1
0,2,2,23,1
10532.5,0,6,33,1
0,1,6,62,1
0,0,6,59,1
0,1,5,62,1
8617.5,0,6,65,1
24895,1,6,30,2
16277.5,1,6,32,2
0,0,6,40,1
6894,0,6,25,2
76600,1,2,53,1
0,1,3,72,2
34470,2,6,26,1
34470,0,3,33,2
0,0,6,65,1
0,1,6,40,1
28725,0,4,32,1
0,0,6,52,1
21065,2,6,50,1
0,0,6,70,1
0,1,6,73,2
51705,2,6,53,2
0,0,6,72,2
76600,2,3,66,1
0,0,6,89,1
0,1,6,63,1
0,0,6,26,1
5745,1,6,43,1
21065,0,6,56,2
0,1,3,69,1
34470,1,6,27,1
0,1,6,43,1
0,0,6,82,2
21065,1,6,53,1
21065,1,6,39,1
34470,0,6,51,1
0,0,6,63,1
34470,0,6,43,2
21065,1,6,38,2
0,1,6,41,1
0,2,6,68,2
