"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"47",1986,"1986-05-23","Poltergeist II: The Other Side","Freddie Fields Productions","USA","PG-13","Horror",1.9e+07,40996665,41990000,90602629.65,48612629.65,91,20669,5.7,"Brian Gibson","JoBeth Williams","Mark Victor"
"48",1986,"1986-01-17","Troll","Empire Pictures","USA","PG-13","Comedy",1100000,5450815,2431000,12046301.15,9615301.15,82,7569,4.3,"John Carl Buechler","Michael Moriarty","Ed Naha"
"49",1986,"1986-06-27","Running Scared","Metro-Goldwyn-Mayer (MGM)","USA","R","Action",0,38500726,0,85086604.46,85086604.46,107,9344,6.5,"Peter Hyams","Gregory Hines","Gary DeVore"
"50",1986,"1986-02-14","Wildcats","Hawn / Sylbert Movie Company","USA","R","Comedy",0,26285544,0,58091052.24,58091052.24,106,10239,5.9,"Michael Ritchie","Goldie Hawn","Ezra Sacks"
"52",1986,"1986-06-06","SpaceCamp","ABC Motion Pictures","USA","PG","Adventure",1.8e+07,9697739,39780000,21432003.19,-18347996.81,107,11484,5.6,"Harry Winer","Kate Capshaw","Clifford Green"
"53",1986,"1986-03-14","Hannah and Her Sisters","Orion Pictures","USA","PG-13","Comedy",6400000,40084041,14144000,88585730.61,74441730.61,107,56988,8,"Woody Allen","Mia Farrow","Woody Allen"
"54",1986,"1986-07-02","The Great Mouse Detective","Walt Disney Pictures","USA","G","Animation",1.4e+07,38600000,30940000,85306000,54366000,74,36539,7.2,"Ron Clements","Vincent Price","Peter Young"
"55",1986,"1986-06-06","Raw Deal","De Laurentiis Entertainment Group (DEG)","USA","R","Action",8500000,16209459,18785000,35822904.39,17037904.39,106,24851,5.5,"John Irvin","Arnold Schwarzenegger","Luciano Vincenzoni"
"56",1986,"1986-08-08","The Transformers: The Movie","Sunbow Productions","USA","PG","Animation",6e+06,5849647,13260000,12927719.87,-332280.130000001,84,33609,7.3,"Nelson Shin","Orson Welles","Ron Friedman"
"57",1986,"1986-03-28","Rad","TaliaFilm II Productions","USA","PG","Drama",0,2015882,0,4455099.22,4455099.22,91,4039,7.2,"Hal Needham","Bart Conner","Sam Bernard"
"58",1986,"1986-08-22","Night of the Creeps","TriStar Pictures","USA","R","Comedy",5e+06,591366,11050000,1306918.86,-9743081.14,88,16077,6.8,"Fred Dekker","Jason Lively","Fred Dekker"
"59",1986,"1986-06-06","Invaders from Mars","Cannon Pictures","USA","PG","Horror",1.2e+07,4884663,26520000,10795105.23,-15724894.77,100,5878,5.5,"Tobe Hooper","Karen Black","Richard Blake"
"60",1986,"1986-03-14","Crossroads","Columbia Pictures Corporation","USA","R","Drama",0,5839031,0,12904258.51,12904258.51,99,11415,7.1,"Walter Hill","Ralph Macchio","John Fusco"
"61",1986,"1987-02-27","Hoosiers","De Haven Productions","UK","PG","Drama",6e+06,28607524,13260000,63222628.04,49962628.04,114,36604,7.6,"David Anspaugh","Gene Hackman","Angelo Pizzo"
"62",1986,"1986-11","Sacrifice","Svenska Filminstitutet (SFI)","Sweden","PG","Drama",0,300653,0,664443.13,664443.13,149,16571,8.1,"Andrei Tarkovsky","Erland Josephson","Andrei Tarkovsky"
"63",1986,"1986-04-18","At Close Range","Cinema '85","USA","R","Crime",6500000,2347000,14365000,5186870,-9178130,111,11607,7,"James Foley","Sean Penn","Elliott Lewitt"
"64",1986,"1986-01-31","Youngblood","Blueline Productions","USA","R","Drama",0,15448384,0,34140928.64,34140928.64,110,10412,6.1,"Peter Markle","Rob Lowe","Peter Markle"
"65",1986,"1986-05-02","No Retreat, No Surrender","Seasonal Film Corporation","USA","PG","Action",0,4662137,0,10303322.77,10303322.77,85,12803,5.6,"Corey Yuen","Kurt McKinney","See-Yuen Ng"
"66",1986,"1986-07-02","Psicosis III","Universal Pictures","USA","R","Horror",0,14481606,0,32004349.26,32004349.26,93,10022,5.3,"Anthony Perkins","Anthony Perkins","Charles Edward Pogue"
"67",1986,"1986-07-25","Heartburn","Paramount Pictures","USA","R","Comedy",2e+07,25314289,44200000,55944578.69,11744578.69,108,7570,6.1,"Mike Nichols","Meryl Streep","Nora Ephron"
"68",1986,"1986-01-17","The Clan of the Cave Bear","Warner Bros.","USA","R","Adventure",1.5e+07,1953732,33150000,4317747.72,-28832252.28,98,5340,5.3,"Michael Chapman","Daryl Hannah","Jean M. Auel"
"69",1986,"1986-02-14","The Delta Force","Golan-Globus Productions","USA","R","Action",1.2e+07,17768900,26520000,39269269,12749269,125,15819,5.6,"Menahem Golan","Chuck Norris","James Bruner"
"70",1986,"1986-10-10","Deadly Friend","Warner Bros.","USA","R","Drama",0,8988731,0,19865095.51,19865095.51,91,5419,5.5,"Wes Craven","Matthew Labyorteaux","Diana Henstell"
"71",1986,"1986-07-02","About Last Night...","TriStar Pictures","USA","R","Comedy",0,38702310,0,85532105.1,85532105.1,113,12307,6.2,"Edward Zwick","Rob Lowe","David Mamet"
"72",1986,"1986-10-24","Soul Man","Balcor Film Investors","USA","PG-13","Comedy",0,27820000,0,61482200,61482200,104,6440,5.2,"Steve Miner","C. Thomas Howell","Carol Black"
"73",1986,"1986-08-08","One Crazy Summer","A&M; Films","USA","PG","Comedy",0,13431806,0,29684291.26,29684291.26,93,11581,6.4,"Savage Steve Holland","John Cusack","Savage Steve Holland"
"74",1986,"1986-10-24","Trick or Treat","De Laurentiis Entertainment Group (DEG)","USA","R","Comedy",0,6797218,0,15021851.78,15021851.78,98,4585,5.8,"Charles Martin Smith","Marc Price","Rhet Topham"
"75",1986,"1986-03-14","Gung Ho","Paramount Pictures","USA","PG-13","Comedy",1.8e+07,36611610,39780000,80911658.1,41131658.1,112,9965,6.2,"Ron Howard","Michael Keaton","Edwin Blum"
"76",1986,"1986-12-25","The Morning After","American Filmworks","USA","R","Crime",0,25147055,0,55574991.55,55574991.55,103,4943,6,"Sidney Lumet","Jane Fonda","James Cresson"
"77",1986,"1986-03-21","Police Academy 3: Back in Training","Police Academy Productions","USA","PG","Comedy",0,43579163,0,96309950.23,96309950.23,83,35443,5.2,"Jerry Paris","Steve Guttenberg","Neal Israel"
"78",1986,"1986-08-08","She's Gotta Have It","40 Acres & A Mule Filmworks","USA","R","Comedy",175000,7137502,386750,15773879.42,15387129.42,84,5257,6.6,"Spike Lee","Tracy Camilla Johns","Spike Lee"
"79",1986,"1986-06-27","Ruthless People","Touchstone Pictures","USA","R","Comedy",0,71624879,0,158290982.59,158290982.59,93,22554,6.9,"Jim Abrahams","Bette Midler","Dale Launer"
"80",1986,"1986-04-11","Band of the Hand","Delphi V Productions","USA","R","Action",8700000,4865912,19227000,10753665.52,-8473334.48,109,2297,6.3,"Paul Michael Glaser","Stephen Lang","Leo Garen"
"81",1986,"1986-11-07","52 Pick-Up","Cannon Group","USA","R","Crime",0,5186646,0,11462487.66,11462487.66,110,3866,6.4,"John Frankenheimer","Roy Scheider","Elmore Leonard"
"82",1986,"1986-10-31","Children of a Lesser God","Paramount Pictures","USA","R","Drama",0,31853080,0,70395306.8,70395306.8,119,12538,7.2,"Randa Haines","William Hurt","Mark Medoff"
"83",1986,"1986-08-15","Armed and Dangerous","Columbia Pictures Corporation","USA","PG-13","Action",1.2e+07,15945534,26520000,35239630.14,8719630.14,88,9040,5.6,"Mark L. Lester","John Candy","Brian Grazer"
"84",1986,"1986-10-30","Down by Law","Black Snake","USA","R","Comedy",1100000,1436000,2431000,3173560,742560,107,39456,7.8,"Jim Jarmusch","Tom Waits","Jim Jarmusch"
"85",1986,"1986-02-07","F/X","Orion Pictures","USA","R","Action",1e+07,20603715,22100000,45534210.15,23434210.15,109,14502,6.7,"Robert Mandel","Bryan Brown","Robert T. Megginson"
"86",1986,"1989-08-25","The Adventures of Milo and Otis","Fuji Television Network","Japan","G","Adventure",0,13245219,0,29271933.99,29271933.99,90,9178,7.1,"Masanori Hata","Kyôko Koizumi","Masanori Hata"
"87",1986,"1986-11-07","Something Wild","Religioso Primitiva","USA","R","Comedy",0,8362969,0,18482161.49,18482161.49,114,13186,6.9,"Jonathan Demme","Jeff Daniels","E. Max Frye"
"88",1986,"1986-06-13","The Manhattan Project","Gladden Entertainment","USA","PG-13","Sci-Fi",1.8e+07,3900000,39780000,8619000,-31161000,117,4666,6.1,"Marshall Brickman","John Lithgow","Marshall Brickman"
"89",1986,"1986-03-28","April Fool's Day","Paramount Pictures","USA","R","Horror",5e+06,12947763,11050000,28614556.23,17564556.23,89,11458,6.2,"Fred Walton","Deborah Foreman","Danilo Bach"
"90",1986,"1986-11-26","Solarbabies","Brooksfilms","USA","PG-13","Action",2.5e+07,1579260,55250000,3490164.6,-51759835.4,94,3397,4.8,"Alan Johnson","Richard Jordan","Walon Green"
"91",1986,"1987-08-28","The Big Easy","Kings Road Entertainment","USA","R","Comedy",0,17685307,0,39084528.47,39084528.47,102,10022,6.6,"Jim McBride","Dennis Quaid","Daniel Petrie Jr."
"92",1986,"1986-10-10","Jumpin' Jack Flash","Lawrence Gordon Productions","USA","R","Comedy",0,25587804,0,56549046.84,56549046.84,105,15703,5.8,"Penny Marshall","Whoopi Goldberg","David Franzoni"
"93",1986,"1986-07-18","Piratas","Carthago Films S.a.r.l.","France","PG-13","Adventure",4e+07,1641825,88400000,3628433.25,-84771566.75,121,6596,6.1,"Roman Polanski","Walter Matthau","John Brownjohn"
"95",1986,"1986-10-03","Tough Guys","Touchstone Pictures","USA","PG","Comedy",1e+07,21458229,22100000,47422686.09,25322686.09,104,5584,6.2,"Jeff Kanew","Burt Lancaster","James Orr"
"97",1986,"1986-01-10","Black Moon Rising","New World Pictures","USA","R","Action",0,6637565,0,14669018.65,14669018.65,100,4045,5.4,"Harley Cokeliss","Tommy Lee Jones","John Carpenter"
"98",1986,"1986-01-31","The Best of Times","Cinema Group Ventures","USA","PG-13","Comedy",1.2e+07,7790931,26520000,17217957.51,-9302042.49,104,5523,5.9,"Roger Spottiswoode","Robin Williams","Ron Shelton"
"99",1986,"1987-03-13","Witchboard","Paragon Arts International","UK","R","Horror",2e+06,7369373,4420000,16286314.33,11866314.33,98,4744,5.7,"Kevin Tenney","Todd Allen","Kevin Tenney"
"100",1986,"1986-01-31","Down and Out in Beverly Hills","Touchstone Pictures","USA","R","Comedy",1.4e+07,62134225,30940000,137316637.25,106376637.25,103,13569,6.1,"Paul Mazursky","Nick Nolte","René Fauchois"
"101",1986,"1986-02-07","Lady Jane","Capital Equipment Leasing","UK","PG-13","Biography",8500000,277646,18785000,613597.66,-18171402.34,136,5364,7.2,"Trevor Nunn","Helena Bonham Carter","Chris Bryant"
"102",1986,"1986-02-14","Quicksilver","Columbia Pictures Corporation","USA","PG","Crime",0,7634909,0,16873148.89,16873148.89,105,3720,5.6,"Thomas Michael Donnelly","Kevin Bacon","Thomas Michael Donnelly"
"103",1986,"1986-06-06","My Little Pony: The Movie","Sunbow Productions","USA","G","Animation",0,5958456,0,13168187.76,13168187.76,86,2125,6,"Mike Joens","Danny DeVito","George Arthur Bloom"
"104",1986,"1987-04-10","Gothic","Virgin Vision","UK","R","Horror",0,916172,0,2024740.12,2024740.12,87,5843,5.7,"Ken Russell","Gabriel Byrne","Lord Byron"
"105",1986,"1986-04-25","8 Million Ways to Die","Producers Sales Organization (PSO)","USA","R","Action",1.8e+07,1305114,39780000,2884301.94,-36895698.06,115,3607,5.7,"Hal Ashby","Jeff Bridges","Lawrence Block"
"106",1986,"1986-12-19","No Mercy","TriStar Pictures","USA","R","Crime",0,12303904,0,27191627.84,27191627.84,106,5564,5.7,"Richard Pearce","Richard Gere","James Carabatsos"
"107",1986,"1986-07-25","Haunted Honeymoon","Orion Pictures","USA","PG","Comedy",0,8033397,0,17753807.37,17753807.37,82,5549,5.6,"Gene Wilder","Gene Wilder","Gene Wilder"
"108",1986,"1986-02-14","TerrorVision","Empire Pictures","USA","R","Comedy",0,320256,0,707765.76,707765.76,83,4620,5.7,"Ted Nicolaou","Diane Franklin","Ted Nicolaou"
"109",1986,"1987-01-30","Allan Quatermain and the Lost City of Gold","Golan-Globus Productions","USA","PG","Action",0,3751699,0,8291254.79,8291254.79,99,7491,4.4,"Gary Nelson","Richard Chamberlain","H. Rider Haggard"
"110",1986,"1986-06-13","Mona Lisa","HandMade Films","UK","R","Crime",0,5794184,0,12805146.64,12805146.64,104,10747,7.4,"Neil Jordan","Bob Hoskins","Neil Jordan"
"111",1986,"1986-07-30","Nothing in Common","Delphi Films","USA","PG","Comedy",0,32324557,0,71437270.97,71437270.97,118,5345,5.9,"Garry Marshall","Tom Hanks","Rick Podell"
"112",1986,"1986-11-21","Firewalker","Cannon Group","USA","PG","Action",8e+06,11834302,17680000,26153807.42,8473807.42,104,4752,5,"J. Lee Thompson","Chuck Norris","Robert Gosnell"
"113",1986,"1987-09-11","Castaway","Cannon Screen Entertainment","UK","R","Adventure",0,483460,0,1068446.6,1068446.6,117,2649,6,"Nicolas Roeg","Oliver Reed","Lucy Irvine"
"114",1986,"1986-07-18","Vamp","Amaretto Films","USA","R","Comedy",3300000,4941117,7293000,10919868.57,3626868.57,93,3909,5.9,"Richard Wenk","Chris Makepeace","Donald P. Borchers"
"117",1986,"1986-05-09","Fire with Fire","Paramount Pictures","USA","PG-13","Drama",0,4636169,0,10245933.49,10245933.49,103,1264,6.6,"Duncan Gibbins","Craig Sheffer","Bill Phillips"
"118",1986,"1986-07-11","Club Paradise","Warner Bros.","USA","PG-13","Comedy",1.5e+07,12308521,33150000,27201831.41,-5948168.59,96,5049,4.9,"Harold Ramis","Robin Williams","Harry Shearer"
"119",1986,"1986-06-20","Legal Eagles","Universal Pictures","USA","PG","Comedy",4e+07,49851591,88400000,110172016.11,21772016.11,116,8374,5.9,"Ivan Reitman","Robert Redford","Ivan Reitman"
"120",1986,"1986-10-10","Clockwise","Thorn EMI Screen Entertainment","UK","PG","Comedy",0,1476356,0,3262746.76,3262746.76,96,9689,6.6,"Christopher Morahan","John Cleese","Michael Frayn"
"121",1986,"1986-08-22","Extremities","Atlantic Entertainment Group","USA","R","Drama",0,13418091,0,29653981.11,29653981.11,89,2705,6.3,"Robert M. Young","Farrah Fawcett","William Mastrosimone"
"122",1986,"1986-04-18","Wise Guys","Metro-Goldwyn-Mayer (MGM)","USA","R","Comedy",1.3e+07,8475466,28730000,18730779.86,-9999220.14,100,4573,5.6,"Brian De Palma","Danny DeVito","George Gallo"
"123",1986,"1986-09-19","The Men's Club","Atlantic Entertainment Group","USA","R","Drama",0,2444076,0,5401407.96,5401407.96,101,680,4.5,"Peter Medak","David Dukes","Leonard Michaels"
"124",1986,"1987-08-28","Jean de Florette","DD Productions","Switzerland","PG","Drama",0,4940939,0,10919475.19,10919475.19,120,20914,8.1,"Claude Berri","Yves Montand","Claude Berri"
"125",1986,"1986-08-22","Reform School Girls","Balcor Film Investors","USA","R","Drama",0,2510433,0,5548056.93,5548056.93,94,1717,5.2,"Tom DeSimone","Linda Carol","Jack Cummins"
"126",1986,"1987-12-04","Manon of the Spring","DD Productions","Switzerland","PG","Drama",0,3940542,0,8708597.82,8708597.82,113,17849,8,"Claude Berri","Yves Montand","Claude Berri"
"127",1986,"1986-08-29","Shanghai Surprise","HandMade Films","UK","PG-13","Adventure",1.7e+07,2315683,37570000,5117659.43,-32452340.57,97,4339,3.1,"Jim Goddard","Sean Penn","John Kohn"
"128",1986,"1986-01-31","Power","Lorimar Productions","USA","R","Drama",1.6e+07,3800000,35360000,8398000,-26962000,111,2287,5.7,"Sidney Lumet","Richard Gere","David Himmelstein"
"129",1986,"1986-11-07","Modern Girls","Not specified","USA","PG-13","Comedy",0,604849,0,1336716.29,1336716.29,84,1023,5.9,"Jerry Kramer","Daphne Zuniga","Laurie Craig"
"130",1986,"1987-01-23","Crimes of the Heart","De Laurentiis Entertainment Group (DEG)","USA","PG-13","Comedy",2e+07,22905500,44200000,50621155,6421155,105,3079,6.4,"Bruce Beresford","Diane Keaton","Beth Henley"
"131",1986,"1986-03-07","Nomads","Cinema VII","USA","R","Horror",0,2278264,0,5034963.44,5034963.44,91,3006,5.5,"John McTiernan","Lesley-Anne Down","John McTiernan"
"132",1986,"1986-01-31","Eliminators","Empire Pictures","USA","PG","Action",0,4601256,0,10168775.76,10168775.76,96,1422,4.5,"Peter Manoogian","Andrew Prine","Paul De Meo"
"133",1986,"1987-01-09","Meatballs III: Summer Job","TMS Pictures","Canada","R","Comedy",0,2147228,0,4745373.88,4745373.88,96,2003,3.3,"George Mendeluk","Sally Kellerman","Janis Allen"
"134",1986,"1986-04-18","Murphy's Law","Golan-Globus Productions","USA","R","Action",6e+06,9947631,13260000,21984264.51,8724264.51,100,3561,5.9,"J. Lee Thompson","Charles Bronson","Gail Morgan Hickman"
"135",1986,"1986-10-10","True Stories","Edward R. Pressman Film","USA","PG","Musical",0,2545142,0,5624763.82,5624763.82,90,3885,7,"David Byrne","David Byrne","Stephen Tobolowsky"
"136",1986,"1986-07-02","Under the Cherry Moon","Warner Bros.","USA","PG-13","Comedy",0,10090429,0,22299848.09,22299848.09,98,2549,4.9,"Prince","Prince","Becky Johnston"
"137",1986,"1986-11-14","Every Time We Say Goodbye","Delphi V Productions","Israel","PG-13","Drama",0,278623,0,615756.83,615756.83,95,1834,5.9,"Moshé Mizrahi","Tom Hanks","Moshé Mizrahi"
"138",1986,"1986-04-18","Absolute Beginners","Goldcrest Films International","UK","PG-13","Drama",0,930211,0,2055766.31,2055766.31,108,2659,5.6,"Julien Temple","Patsy Kensit","Colin MacInnes"
"139",1986,"1986-10-03","'Round Midnight","Little Bear","USA","R","Drama",0,3272600,0,7232446,7232446,133,4028,7.4,"Bertrand Tavernier","Dexter Gordon","David Rayfiel"
"140",1986,"1986-09-12","Avenging Force","Cannon Group, The","USA","R","Action",4e+06,4679650,8840000,10342026.5,1502026.5,104,1808,5.9,"Sam Firstenberg","Michael Dudikoff","James Booth"
"141",1986,"1986-08-29","Bullies","Simcom Limited","Canada","R","Action",0,2995527,0,6620114.67,6620114.67,96,340,5.4,"Paul Lynch","Jonathan Crombie","John Sheppard"
"142",1986,"1988-01-29","Biggles: Adventures in Time","Compact Yellowbill","UK","PG","Adventure",0,112132,0,247811.72,247811.72,88,2243,5.8,"John Hough","Neil Dickson","W.E. Johns"
"143",1986,"1986-06-27","American Anthem","Lorimar Productions","USA","PG-13","Drama",0,4845724,0,10709050.04,10709050.04,102,1284,4,"Albert Magnoli","Mitchell Gaylord","Evan Archerd"
"144",1986,"1986-07-25","Out of Bounds","Columbia Pictures Corporation","USA","R","Action",0,5099316,0,11269488.36,11269488.36,93,1016,5.4,"Richard Tuggle","Anthony Michael Hall","Tony Kayden"
"145",1986,"1986-01-24","My Chauffeur","Crown International Pictures","USA","R","Comedy",0,4781448,0,10567000.08,10567000.08,97,1426,5.6,"David Beaird","Deborah Foreman","David Beaird"
"146",1986,"1986-12-25","Brighton Beach Memoirs","Rastar Pictures","USA","PG-13","Comedy",1.8e+07,11957943,39780000,26427054.03,-13352945.97,108,2720,6.9,"Gene Saks","Blythe Danner","Neil Simon"
"147",1986,"1986-08-29","Summer","Ministère de la Culture et de la Communication","France","R","Drama",0,37455,0,82775.55,82775.55,98,4612,7.8,"Éric Rohmer","Marie Rivière","Marie Rivière"
"148",1986,"1986-03-07","The Naked Cage","Cannon Group","USA","R","Drama",0,3136701,0,6932109.21,6932109.21,97,327,5.5,"Paul Nicholas","Shari Shattuck","Paul Nicholas"
"149",1986,"1986-09-19","Link","Cannon Screen Entertainment","UK","R","Horror",0,1720450,0,3802194.5,3802194.5,100,2080,5.9,"Richard Franklin","Terence Stamp","Lee David Zlotoff"
"150",1986,"1986-09-26","Half Moon Street","Edward R. Pressman Film","UK","R","Thriller",0,1131399,0,2500391.79,2500391.79,90,2157,5.4,"Bob Swaim","Sigourney Weaver","Edward Behr"
"151",1986,"1987-01-29","'night, Mother","Aaron Spelling Productions","USA","PG-13","Drama",0,441863,0,976517.23,976517.23,96,1840,7.6,"Tom Moore","Sissy Spacek","Marsha Norman"
"152",1986,"1986-08-08","A Fine Mess","Blake Edwards","USA","PG","Action",0,6029824,0,13325911.04,13325911.04,90,1164,4.5,"Blake Edwards","Ted Danson","Blake Edwards"
"153",1986,"1986-09-12","Hardbodies 2","Chroma III Productions","USA","R","Comedy",0,78068,0,172530.28,172530.28,88,895,2.9,"Mark Griffiths","James Karen","Mark Griffiths"
"154",1986,"1986-02-06","The Assault","Fons Rademakers Produktie","Netherlands","PG","Drama",0,203781,0,450356.01,450356.01,155,2694,7.3,"Fons Rademakers","Derek de Lint","Gerard Soeteman"
"155",1986,"1986-11-14","Willy/Milly","Griffon Productions","USA","PG-13","Comedy",0,277405,0,613065.05,613065.05,86,323,5.7,"Paul Schneider","Pamela Adlon","Alan Friedman"
"156",1986,"1986-04","The Ladies Club","Heron Communications","USA","R","Drama",0,239073,0,528351.33,528351.33,85,154,5.3,"Janet Greek","Karen Austin","Casey Bishop"
"157",1986,"1986-10-31","Let's Get Harry","Delphi V Productions","USA","R","Action",0,140980,0,311565.8,311565.8,102,978,5.2,"Stuart Rosenberg","Michael Schoeffling","Mark Feldberg"
"158",1986,"1986-11-07","Tai-Pan","De Laurentiis Entertainment Group (DEG)","USA","R","Adventure",2.5e+07,4007250,55250000,8856022.5,-46393977.5,127,1340,5.5,"Daryl Duke","Bryan Brown","John Briley"
"159",1986,"1986-11-28","Deadtime Stories","Scary Stuff","USA","R","Comedy",0,2750741,0,6079137.61,6079137.61,93,973,4.6,"Jeffrey Delman","Scott Valentine","Jeffrey Delman"
"160",1986,"1987-03-13","Heat","Escalante Productions","USA","R","Action",1.7e+07,2793214,37570000,6173002.94,-31396997.06,101,1358,5.5,"Dick Richards","Burt Reynolds","William Goldman"
"161",1986,"1986-08-22","Touch and Go","Kings Road Entertainment","USA","R","Comedy",0,1254040,0,2771428.4,2771428.4,101,684,5.8,"Robert Mandel","Michael Keaton","Alan Ormsby"
"162",1986,"1986-01-17","The Boy in Blue","Canadian Broadcasting Corporation (CBC)","Canada","R","Biography",0,275000,0,607750,607750,100,907,5.4,"Charles Jarrott","Nicolas Cage","Douglas Bowie"
"163",1986,"1986-05-16","Sweet Liberty","Universal Pictures","USA","PG","Comedy",0,14205021,0,31393096.41,31393096.41,106,2300,5.7,"Alan Alda","Alan Alda","Alan Alda"
"164",1986,"1986-05-09","Killer Party","Marquis","USA","R","Comedy",0,681337,0,1505754.77,1505754.77,91,1265,4.7,"William Fruet","Martin Hewitt","Barney Cohen"
"166",1986,"1986-03-21","Care Bears Movie II: A New Generation","Nelvana","Canada","G","Animation",0,8540346,0,18874164.66,18874164.66,76,1760,5.3,"Dale Schott","Maxine Miller","Peter Sauder"
"167",1986,"1986-05-02","Jo Jo Dancer, Your Life Is Calling","Columbia Pictures Corporation","USA","R","Biography",1.4e+07,18034150,30940000,39855471.5,8915471.5,97,1288,6.3,"Richard Pryor","Richard Pryor","Rocco Urbisci"
"168",1986,"1986-05-30","Jake Speed","Balcor Film Investors","USA","PG","Action",0,1943751,0,4295689.71,4295689.71,100,632,5.3,"Andrew Lane","Wayne Crawford","Wayne Crawford"
"169",1986,"1986-08-29","Born American","Cinema Group Ventures","USA","R","Action",3401376,3388020,7517040.96,7487524.2,-29516.7599999998,97,1509,4.3,"Renny Harlin","Mike Norris","Renny Harlin"
"170",1986,"1986-05-02","Blue City","Paramount Pictures","USA","R","Action",1e+07,6947787,22100000,15354609.27,-6745390.73,83,792,4.4,"Michelle Manning","Judd Nelson","Ross Macdonald"
"171",1986,"1986-11-05","Malcolm","Cascade Films","Australia","PG-13","Comedy",0,544472,0,1203283.12,1203283.12,90,1623,7.2,"Nadia Tass","Colin Friels","David Parker"
"172",1986,"1986-10-03","Playing for Keeps","Miramax","USA","PG-13","Comedy",0,2669366,0,5899298.86,5899298.86,102,515,4.1,"Bob Weinstein","Daniel Jordano","Bob Weinstein"
"173",1986,"1987-02","Duet for One","Golan-Globus Productions","USA","R","Drama",0,8736,0,19306.56,19306.56,107,699,7,"Andrey Konchalovskiy","Julie Andrews","Tom Kempinski"
"174",1986,"1986-11-07","Nobody's Fool","Island Pictures","USA","PG-13","Comedy",0,563358,0,1245021.18,1245021.18,107,652,5.5,"Evelyn Purcell","Rosanna Arquette","Beth Henley"
"175",1986,"1986-08-22","The Whoopee Boys","Paramount Pictures","USA","R","Comedy",0,444746,0,982888.66,982888.66,88,639,6.2,"John Byrum","Michael O'Keefe","Steve Zacharias"
"176",1986,"1986-10-10","That's Life!","Blake Edwards","USA","PG-13","Comedy",0,4079895,0,9016567.95,9016567.95,102,1032,6.1,"Blake Edwards","Jack Lemmon","Milton Wexler"
"177",1986,"1987-05-21","Body Slam","Hemdale","USA","PG","Comedy",0,14926,0,32986.46,32986.46,89,795,5.3,"Hal Needham","Dirk Benedict","Shel Lytton"
"178",1986,"1986-11-21","Defense of the Realm","Rank Organisation, The","UK","PG","Thriller",0,750000,0,1657500,1657500,96,1625,6.6,"David Drury","Gabriel Byrne","Martin Stellman"
"179",1986,"1987-03-13","Man Facing Southeast","Cinequanon","Argentina","R","Drama",0,725000,0,1602250,1602250,105,2991,7.8,"Eliseo Subiela","Lorenzo Quinteros","Eliseo Subiela"
"180",1986,"1986-11-14","The Decline of the American Empire","Corporation Image M & M","Canada","R","Comedy",0,1902706,0,4204980.26,4204980.26,101,6622,7.3,"Denys Arcand","Dominique Michel","Denys Arcand"
"181",1986,"1986-04-25","Violets Are Blue...","Rastar Films","USA","PG-13","Drama",0,4743287,0,10482664.27,10482664.27,88,553,5.7,"Jack Fisk","Sissy Spacek","Naomi Foner"
"182",1986,"1987-07-10","The Whistle Blower","Portreeve","UK","PG","Thriller",0,1500000,0,3315000,3315000,100,1672,6.2,"Simon Langton","Michael Caine","Julian Bond"
"183",1986,"1986-12-12","Native Son","American Playhouse","USA","PG","Drama",2e+06,1301121,4420000,2875477.41,-1544522.59,111,448,5.9,"Jerrold Freedman","Victor Love","Richard Wesley"
"184",1986,"1986-04-18","Desert Bloom","Carson Productions","USA","PG","Drama",0,416393,0,920228.53,920228.53,105,821,6.6,"Eugene Corr","Jon Voight","Linda Remy"
"187",1986,"1986-09-05","Oviri","Caméras Continentales","Denmark","R","Biography",0,583800,0,1290198,1290198,100,275,6.2,"Henning Carlsen","Donald Sutherland","Henning Carlsen"
"188",1986,"1986-05-09","In the Shadow of Kilimanjaro","Film Corporation of Kenya","UK","R","Action",0,181410,0,400916.1,400916.1,100,310,5.1,"Raju Patel","John Rhys-Davies","T. Michael Harry"
"189",1986,"1987-03-13","Kangaroo","Cineplex-Odeon Films","Australia","R","Drama",0,432266,0,955307.86,955307.86,108,156,6.7,"Tim Burstall","Colin Friels","Evan Jones"
"190",1986,"1986-05-09","Dangerously Close","Cannon Group","USA","R","Action",0,2390525,0,5283060.25,5283060.25,95,935,6.6,"Albert Pyun","John Stockwell","Scott Fields"
"191",1986,"1986-11-26","Nutcracker","Hyperion Pictures","USA","G","Family",0,781727,0,1727616.67,1727616.67,100,578,7.2,"Carroll Ballard","Hugh Bigney","Kent Stowell"
"192",1986,"1986-03-28","Ginger and Fred","Produzioni Europee Associate (PEA)","Italy","PG-13","Comedy",0,837623,0,1851146.83,1851146.83,125,3859,7.3,"Federico Fellini","Marcello Mastroianni","Federico Fellini"
"193",1986,"1986-04-02","Dream Lover","Metro-Goldwyn-Mayer (MGM)","USA","R","Crime",0,502237,0,1109943.77,1109943.77,104,405,5.1,"Alan J. Pakula","Kristy McNichol","Jon Boorstin"
"194",1986,"1986-03-21","Just Between Friends","MTM Enterprises","USA","PG-13","Drama",0,6408791,0,14163428.11,14163428.11,110,629,5.9,"Allan Burns","Mary Tyler Moore","Allan Burns"
