"","year","released","name","company","country","rating","genre","budget","gross","Budget2017","Gross2017","Profit2017","runtime","votes","score","director","star","writer"
"4137",2004,"2004-08-06","Maria Full of Grace","HBO Films","Colombia","R","Crime",3e+06,6517198,3930000,8537529.38,4607529.38,101,31546,7.5,"Joshua Marston","Catalina Sandino Moreno","Joshua Marston"
"4138",2004,"2006-02-24","Lila Says","Huit et Demi Productions","France","R","Crime",0,121166,0,158727.46,158727.46,89,4054,7,"Ziad Doueiri","Vahina Giocante","Chimo"
"4139",2004,"2004-07-30","She Hate Me","40 Acres & A Mule Filmworks","USA","R","Comedy",8e+06,365134,10480000,478325.54,-10001674.46,138,6600,5.3,"Spike Lee","Anthony Mackie","Michael Genet"
"4140",2004,"2004-09-02","Summer Storm","Claussen & Wöbke Filmproduktion GmbH","Germany","R","Comedy",0,95016,0,124470.96,124470.96,98,11810,7.4,"Marco Kreuzpaintner","Robert Stadlober","Thomas Bahmann"
"4141",2004,"2005-04-29","Millions","Pathé Pictures International","UK","PG-13","Comedy",0,6583149,0,8623925.19,8623925.19,98,22743,6.9,"Danny Boyle","Alex Etel","Frank Cottrell Boyce"
"4142",2004,"2005-04-29","House of D","Bob Yari Productions","USA","PG-13","Comedy",6e+06,371081,7860000,486116.11,-7373883.89,96,7919,7,"David Duchovny","David Duchovny","David Duchovny"
"4144",2004,"2004-08-06","Little Black Book","Revolution Studios","USA","PG-13","Comedy",3.5e+07,20422207,45850000,26753091.17,-19096908.83,111,15844,5.3,"Nick Hurran","Brittany Murphy","Melissa Carter"
"4145",2004,"2005-04-08","Melinda and Melinda","Fox Searchlight Pictures","USA","PG-13","Comedy",0,3825351,0,5011209.81,5011209.81,99,28468,6.5,"Woody Allen","Will Ferrell","Woody Allen"
"4146",2004,"2005-05-27","It's All Gone Pete Tong","True West Films","UK","R","Biography",0,120620,0,158012.2,158012.2,90,17570,7.4,"Michael Dowse","Paul Kaye","Michael Dowse"
"4147",2004,"2005-02-04","Vera Drake","Les Films Alain Sarde","UK","R","Crime",1.1e+07,3753806,14410000,4917485.86,-9492514.14,125,21213,7.7,"Mike Leigh","Imelda Staunton","Mike Leigh"
"4148",2004,"2005-05-27","Ladies in Lavender","UK Film Council","UK","PG-13","Drama",0,6759422,0,8854842.82,8854842.82,104,8937,7.1,"Charles Dance","Judi Dench","William J. Locke"
"4149",2004,"2004-12-17","Undertow","United Artists","USA","R","Drama",0,24947,0,32680.57,32680.57,108,7587,6.7,"David Gordon Green","Jamie Bell","Lingard Jervey"
"4151",2004,"2004-09-26","Eulogy","Eulogy Productions LLC","USA","R","Comedy",6500000,70527,8515000,92390.37,-8422609.63,91,7932,6.7,"Michael Clancy","Ray Romano","Michael Clancy"
"4152",2004,"2004-02-20","Welcome to Mooseport","Twentieth Century Fox Film Corporation","USA","PG-13","Comedy",2.6e+07,14469428,34060000,18954950.68,-15105049.32,110,11058,5.2,"Donald Petrie","Gene Hackman","Doug Richardson"
"4154",2004,"2005-06-24","Saving Face","Destination Films","USA","R","Comedy",0,1186323,0,1554083.13,1554083.13,91,8312,7.5,"Alice Wu","Joan Chen","Alice Wu"
"4155",2004,"2004-08-27","Suspect Zero","Paramount Pictures","UK","R","Crime",2.7e+07,8725813,35370000,11430815.03,-23939184.97,100,17171,5.9,"E. Elias Merhige","Aaron Eckhart","Zak Penn"
"4157",2004,"2005-04-15","Dear Frankie","Pathé Pictures International","UK","PG-13","Drama",0,1340891,0,1756567.21,1756567.21,105,19530,7.8,"Shona Auerbach","Emily Mortimer","Andrea Gibb"
"4158",2004,"2004-11-26","Enduring Love","Pathé Pictures International","UK","R","Drama",0,358262,0,469323.22,469323.22,100,9152,6.4,"Roger Michell","Rhys Ifans","Ian McEwan"
"4159",2004,"2004-04-30","Godsend","Lions Gate Films","Canada","PG-13","Drama",2.5e+07,14379751,32750000,18837473.81,-13912526.19,102,23154,4.8,"Nick Hamm","Robert De Niro","Mark Bomback"
"4160",2004,"2004-07-16","The Clearing","Fox Searchlight Pictures","Germany","R","Drama",0,5763875,0,7550676.25,7550676.25,95,12195,5.9,"Pieter Jan Brugge","Robert Redford","Pieter Jan Brugge"
